sense1,sense2,dist
объект,объект,0
объект,вещь,1
объект,существо,1
объект,место,1
объект,вещество,1
объект,часть,1
объект,вещь_рукотворная,2
объект,вещь_природная,2
объект,животное,2
объект,растение,2
объект,место_рукотворное,2
объект,место_природное,2
объект,зверь,3
объект,птица,3
объект,рыба,3
объект,насекомое,3
объект,дерево,3
объект,трава,3
объект,собака,4
объект,кошка,4
объект,медведь,4
объект,воробей,4
объект,ворона,4
объект,чайка,4
объект,ласточка,4
объект,щука,4
объект,карась,4
объект,акула,4
объект,паук,4
объект,муравей,4
объект,муха,4
объект,комар,4
объект,ель,4
объект,тополь,4
объект,липа,4
объект,яблоня,4
объект,вишня,4
объект,полынь,4
объект,роза,4
объект,подснежник,4
объект,инструмент,3
объект,аппарат,3
объект,контейнер,3
объект,еда,3
объект,камень,3
объект,планета,3
объект,звезда,3
объект,инструмент_работа,4
объект,инструмент_музыка,4
объект,инструмент_инфо,4
объект,бутылка,4
объект,мешок,4
объект,ящик,4
объект,сундук,4
объект,еда_твёрдая,4
объект,еда_жидкая,4
объект,молоток,5
объект,отвёртка,5
объект,пила,5
объект,топор,5
объект,напильник,5
объект,лопата,5
объект,метла,5
объект,игла,5
объект,нитка,5
объект,инструмент_струны,5
объект,инструмент_воздух,5
объект,пианино,6
объект,рояль,6
объект,гитара,6
объект,скрипка,6
объект,арфа,6
объект,труба,6
объект,флейта,6
объект,волынка,6
объект,баян,6
объект,книга,5
объект,газета,5
объект,компьютер,5
объект,монитор,5
объект,клавиатура,5
объект,мышка,5
объект,автомобиль,4
объект,самолёт,4
объект,велосипед,4
объект,корабль,4
объект,ракета,4
объект,яблоко,5
объект,груша,5
объект,мясо,5
объект,хлеб,5
объект,соль,5
объект,сок,5
объект,чай,5
объект,кофе,5
объект,река,3
объект,море,3
объект,поле,3
объект,гора,3
объект,страна,3
объект,город,3
объект,улица,3
объект,дом,3
объект,вода,2
объект,воздух,2
объект,золото,2
объект,железо,2
объект,часть_живая,2
объект,часть_неживая,2
объект,часть_животного,3
объект,часть_растения,3
объект,нос,4
объект,ухо,4
объект,рука,4
объект,нога,4
объект,лист,4
объект,стебель,4
объект,тычинка,4
объект,корень,4
объект,стена,3
объект,окно,3
объект,пол,3
объект,дверь,3
объект,лестница,3
вещь,объект,1
вещь,вещь,0
вещь,существо,2
вещь,место,2
вещь,вещество,2
вещь,часть,2
вещь,вещь_рукотворная,1
вещь,вещь_природная,1
вещь,животное,3
вещь,растение,3
вещь,место_рукотворное,3
вещь,место_природное,3
вещь,зверь,4
вещь,птица,4
вещь,рыба,4
вещь,насекомое,4
вещь,дерево,4
вещь,трава,4
вещь,собака,5
вещь,кошка,5
вещь,медведь,5
вещь,воробей,5
вещь,ворона,5
вещь,чайка,5
вещь,ласточка,5
вещь,щука,5
вещь,карась,5
вещь,акула,5
вещь,паук,5
вещь,муравей,5
вещь,муха,5
вещь,комар,5
вещь,ель,5
вещь,тополь,5
вещь,липа,5
вещь,яблоня,5
вещь,вишня,5
вещь,полынь,5
вещь,роза,5
вещь,подснежник,5
вещь,инструмент,2
вещь,аппарат,2
вещь,контейнер,2
вещь,еда,2
вещь,камень,2
вещь,планета,2
вещь,звезда,2
вещь,инструмент_работа,3
вещь,инструмент_музыка,3
вещь,инструмент_инфо,3
вещь,бутылка,3
вещь,мешок,3
вещь,ящик,3
вещь,сундук,3
вещь,еда_твёрдая,3
вещь,еда_жидкая,3
вещь,молоток,4
вещь,отвёртка,4
вещь,пила,4
вещь,топор,4
вещь,напильник,4
вещь,лопата,4
вещь,метла,4
вещь,игла,4
вещь,нитка,4
вещь,инструмент_струны,4
вещь,инструмент_воздух,4
вещь,пианино,5
вещь,рояль,5
вещь,гитара,5
вещь,скрипка,5
вещь,арфа,5
вещь,труба,5
вещь,флейта,5
вещь,волынка,5
вещь,баян,5
вещь,книга,4
вещь,газета,4
вещь,компьютер,4
вещь,монитор,4
вещь,клавиатура,4
вещь,мышка,4
вещь,автомобиль,3
вещь,самолёт,3
вещь,велосипед,3
вещь,корабль,3
вещь,ракета,3
вещь,яблоко,4
вещь,груша,4
вещь,мясо,4
вещь,хлеб,4
вещь,соль,4
вещь,сок,4
вещь,чай,4
вещь,кофе,4
вещь,река,4
вещь,море,4
вещь,поле,4
вещь,гора,4
вещь,страна,4
вещь,город,4
вещь,улица,4
вещь,дом,4
вещь,вода,3
вещь,воздух,3
вещь,золото,3
вещь,железо,3
вещь,часть_живая,3
вещь,часть_неживая,3
вещь,часть_животного,4
вещь,часть_растения,4
вещь,нос,5
вещь,ухо,5
вещь,рука,5
вещь,нога,5
вещь,лист,5
вещь,стебель,5
вещь,тычинка,5
вещь,корень,5
вещь,стена,4
вещь,окно,4
вещь,пол,4
вещь,дверь,4
вещь,лестница,4
существо,объект,1
существо,вещь,2
существо,существо,0
существо,место,2
существо,вещество,2
существо,часть,2
существо,вещь_рукотворная,3
существо,вещь_природная,3
существо,животное,1
существо,растение,1
существо,место_рукотворное,3
существо,место_природное,3
существо,зверь,2
существо,птица,2
существо,рыба,2
существо,насекомое,2
существо,дерево,2
существо,трава,2
существо,собака,3
существо,кошка,3
существо,медведь,3
существо,воробей,3
существо,ворона,3
существо,чайка,3
существо,ласточка,3
существо,щука,3
существо,карась,3
существо,акула,3
существо,паук,3
существо,муравей,3
существо,муха,3
существо,комар,3
существо,ель,3
существо,тополь,3
существо,липа,3
существо,яблоня,3
существо,вишня,3
существо,полынь,3
существо,роза,3
существо,подснежник,3
существо,инструмент,4
существо,аппарат,4
существо,контейнер,4
существо,еда,4
существо,камень,4
существо,планета,4
существо,звезда,4
существо,инструмент_работа,5
существо,инструмент_музыка,5
существо,инструмент_инфо,5
существо,бутылка,5
существо,мешок,5
существо,ящик,5
